year,age,midYearWt_3LNO,springWt_3LNO,springM_3LNO
1977,1,1.389619806,0.357306865,3.925031292
1977,2,5.477968473,2.646094411,2.160358615
1977,3,15.75370566,9.551348014,1.439752405
1977,4,37.14188304,25.21482077,1.060402208
1977,5,63.87845624,46.18194759,0.87632175
1977,6,99.6612508,74.78049164,0.752082254
1977,7,167.4038468,129.9681039,0.630399706
1977,8,263.9356049,210.8669089,0.542410976
1977,9,390.5337366,320.130556,0.476500016
1977,10,595.4965345,502.1153836,0.414732421
1977,11,802.7919013,688.3488554,0.376031414
1977,12,1085.716381,950.2353084,0.341703545
1977,13,1412.937318,1262.40925,0.313536877
1977,14,1692.893773,1538.292252,0.294725932
1977,15,2128.5639,1959.134062,0.274074776
1977,16,2410.021992,2248.081581,0.263933128
1977,17,2590.460101,2438.612821,0.25589651
1977,18,3159.713627,3001.54435,0.239804099
1977,19,3294.409391,3153.098198,0.235702155
1977,20,3504.718745,3374.093483,0.232437111
1977,21,3725.151314,3613.029124,0.226239836
1978,1,1.468496193,0.377733628,3.854621106
1978,2,6.21907541,3.019696848,2.07150982
1978,3,18.07567526,11.03694403,1.383850555
1978,4,39.56791014,26.90571189,1.04168468
1978,5,70.04014019,50.74473015,0.85191301
1978,6,103.8978032,77.95164873,0.740006589
1978,7,164.2583202,127.0402749,0.635313002
1978,8,269.5399791,215.1995349,0.538752833
1978,9,403.7965411,331.4438826,0.47147004
1978,10,574.3379568,481.6996258,0.420353392
1978,11,831.1579787,713.7233683,0.372360206
1978,12,1070.599063,934.4517997,0.34249049
1978,13,1385.053504,1232.45041,0.315350904
1978,14,1779.321395,1618.253039,0.2902145
1978,15,2068.757493,1898.371586,0.276354571
1978,16,2487.627804,2315.147749,0.260368609
1978,17,2801.801852,2638.135488,0.250424031
1978,18,2959.180585,2806.478772,0.245329411
1978,19,3487.615924,3334.820195,0.231614797
1978,20,3529.405407,3393.449785,0.232025691
1978,21,3765.708824,3648.567399,0.225558174
1979,1,1.45578057,0.374392069,3.891398283
1979,2,6.591493521,3.204463985,2.029205799
1979,3,20.01067657,12.29395911,1.332989326
1979,4,44.82040462,30.70417202,1.0032055
1979,5,74.35429742,53.94797998,0.837189876
1979,6,113.4043248,85.15085756,0.720517876
1979,7,171.6489157,132.7834077,0.625018031
1979,8,267.2009658,212.0079957,0.541618419
1979,9,412.2873432,338.3718024,0.468278108
1979,10,592.666719,497.5233104,0.416165306
1979,11,810.9520659,692.8782009,0.375947923
1979,12,1107.967787,966.9580357,0.339296825
1979,13,1375.000058,1219.283318,0.315660097
1979,14,1750.803204,1586.805951,0.291528347
1979,15,2160.606414,1984.647222,0.272682571
1979,16,2431.259956,2256.137604,0.262142586
1979,17,2886.297894,2711.595882,0.247371916
1979,18,3214.406423,3049.084588,0.239532497
1979,19,3258.433343,3111.13858,0.237080229
1979,20,3762.695203,3614.52556,0.227522449
1979,21,3803.510726,3681.038918,0.224942289
1980,1,1.623877239,0.419104194,3.730070835
1980,2,6.473399302,3.142935315,2.058714114
1980,3,21.17316082,13.0332672,1.307522454
1980,4,48.16229758,33.09312493,0.973610568
1980,5,83.03713381,60.66894385,0.809154997
1980,6,120.0714033,90.18325126,0.708342405
1980,7,186.950187,144.7230079,0.608687542
1980,8,278.3530121,221.0897589,0.533471144
1980,9,412.5550641,337.5782484,0.468832321
1980,10,604.4012844,507.3705529,0.413558254
1980,11,835.0087146,714.3075046,0.372395624
1980,12,1091.739185,948.5945739,0.34141324
1980,13,1425.189637,1261.876215,0.312665711
1980,14,1742.109811,1571.93186,0.291759486
1980,15,2135.787775,1955.13774,0.273578271
1980,16,2529.041115,2348.674644,0.258954956
1980,17,2829.953598,2651.205307,0.248855633
1980,18,3299.278517,3122.906404,0.237228454
1980,19,3535.862828,3376.657346,0.231542306
1980,20,3601.293658,3454.102199,0.230884466
1980,21,4040.437861,3907.260885,0.220837435
1981,1,1.823155043,0.473796222,3.600811728
1981,2,7.284369875,3.556232194,1.960665856
1981,3,21.15705536,13.00535686,1.319465554
1981,4,50.89501196,35.07291474,0.956027907
1981,5,89.05140044,65.2696942,0.786601721
1981,6,131.9944972,99.73587479,0.687757256
1981,7,197.8817175,153.2431588,0.598119252
1981,8,302.0518111,240.5729021,0.519584752
1981,9,427.7799757,350.5663819,0.462618135
1981,10,608.5894074,509.6166878,0.413216024
1981,11,850.5528589,727.6158993,0.370214611
1981,12,1121.900061,975.6099012,0.338425511
1981,13,1416.163265,1248.796332,0.313771943
1981,14,1819.539988,1636.445079,0.288446895
1981,15,2139.272009,1950.087381,0.273297099
1981,16,2516.427524,2329.623144,0.259318072
1981,17,2943.366705,2759.648293,0.245833506
1981,18,3247.796498,3065.801784,0.238435027
1981,19,3646.03598,3474.716961,0.228991434
1981,20,3919.218131,3759.174319,0.225138413
1981,21,3904.789085,3771.005928,0.223346977
1982,1,1.773773602,0.466438514,3.56023958
1982,2,8.038693887,3.957542317,1.904224773
1982,3,23.27089732,14.40499927,1.266990072
1982,4,51.73572154,35.70022949,0.959012571
1982,5,93.63929411,68.83440117,0.773602912
1982,6,141.9693609,107.6926221,0.669302276
1982,7,215.0324893,167.3825512,0.582568261
1982,8,318.9250562,254.4816413,0.510555005
1982,9,461.0738146,379.3006206,0.451278522
1982,10,626.8909897,526.2105656,0.408566978
1982,11,860.6227727,734.7711804,0.369247175
1982,12,1140.604626,992.840588,0.336564961
1982,13,1454.616869,1282.326408,0.311186277
1982,14,1822.949512,1633.807193,0.288662228
1982,15,2252.777228,2047.619424,0.269422861
1982,16,2544.538274,2345.350263,0.258425559
1982,17,2937.342454,2745.658704,0.245986207
1982,18,3346.85195,3161.799389,0.236259949
1982,19,3605.907211,3427.579673,0.229836056
1982,20,4043.812454,3871.179524,0.22287921
1982,21,4255.804945,4110.633776,0.217638559
1983,1,1.681680292,0.445394753,3.584024222
1983,2,8.145238459,4.011001591,1.853874864
1983,3,25.39220772,15.85827658,1.233960282
1983,4,55.61184171,38.59928774,0.928835573
1983,5,94.65566833,69.60491056,0.776131327
1983,6,148.7571328,113.1799066,0.658865652
1983,7,229.8121477,179.583913,0.56875599
1983,8,343.2829019,275.3732031,0.498442397
1983,9,484.548982,399.5452058,0.443952328
1983,10,668.695502,564.4941363,0.399517991
1983,11,879.8749531,753.3769696,0.365975204
1983,12,1156.507103,1006.486424,0.335248351
1983,13,1475.310975,1302.001414,0.309678092
1983,14,1873.659401,1677.823731,0.286286416
1983,15,2276.998759,2062.291097,0.268887713
1983,16,2696.868197,2477.330844,0.254259861
1983,17,2978.556179,2772.26937,0.244992136
1983,18,3356.297605,3161.615111,0.236100936
1983,19,3726.279841,3544.567012,0.227489142
1983,20,4024.477346,3842.931382,0.223329364
1983,21,4379.070587,4222.036527,0.215704969
1984,1,1.665438436,0.443439026,3.582132864
1984,2,7.97083026,3.926209558,1.844964353
1984,3,25.34312607,15.82722192,1.21532855
1984,4,59.88532309,41.96408379,0.90784485
1984,5,100.9856289,74.76952645,0.754543789
1984,6,148.7225106,113.0484439,0.661965521
1984,7,239.6714943,187.8934919,0.560708301
1984,8,363.3503262,292.8334164,0.488267392
1984,9,516.1825758,428.0895672,0.434592644
1984,10,697.7303532,591.1396611,0.393684517
1984,11,925.3865895,798.2190385,0.359221365
1984,12,1174.879849,1025.501096,0.333003442
1984,13,1494.190426,1320.332158,0.308411535
1984,14,1893.63821,1698.364948,0.285180671
1984,15,2343.550146,2120.781211,0.266576973
1984,16,2746.747882,2514.667444,0.25315528
1984,17,3181.750718,2951.894055,0.240416812
1984,18,3436.139789,3223.615838,0.234532175
1984,19,3753.150031,3560.222765,0.227059179
1984,20,4100.084138,3917.532194,0.222042411
1984,21,4363.206176,4196.794941,0.216077786
1985,1,1.654761315,0.442204377,3.580150772
1985,2,7.953071156,3.929728997,1.838854929
1985,3,24.44556868,15.25543749,1.218704846
1985,4,59.44382195,41.70646474,0.900505229
1985,5,106.7798894,79.76612663,0.741437233
1985,6,158.4178578,121.3933142,0.644909146
1985,7,239.6147287,187.6317177,0.562408599
1985,8,376.4086826,304.4305382,0.482354451
1985,9,540.1780576,450.5996293,0.427278894
1985,10,734.5523658,626.2149673,0.386660301
1985,11,956.4261588,828.8931709,0.35488192
1985,12,1217.94433,1070.837034,0.328343308
1985,13,1509.204932,1337.727399,0.30692453
1985,14,1911.536206,1718.635932,0.284189363
1985,15,2355.017438,2134.621808,0.266024901
1985,16,2832.260871,2590.251833,0.25086445
1985,17,3260.500181,3015.047692,0.23891517
1985,18,3699.522726,3459.851029,0.22955641
1985,19,3859.174292,3646.292538,0.225315482
1985,20,4163.101776,3967.282715,0.221118245
1985,21,4470.201,4302.811336,0.21443568
1986,1,1.497402477,0.398883226,3.689830696
1986,2,7.964613164,3.945556253,1.831877674
1986,3,24.17126847,15.11852188,1.219587715
1986,4,56.97026537,39.90181201,0.907173337
1986,5,106.2722815,79.5877704,0.736601591
1986,6,163.8662177,126.6873535,0.637735999
1986,7,252.0258686,198.9915612,0.550951144
1986,8,377.4729908,305.1168514,0.48273465
1986,9,555.5999384,465.042276,0.423092931
1986,10,758.4775609,650.7892476,0.381776626
1986,11,993.6915432,867.0008971,0.349885422
1986,12,1247.051295,1101.385989,0.325341209
1986,13,1543.519292,1377.667348,0.303947553
1986,14,1915.565933,1726.742732,0.283585854
1986,15,2366.163415,2149.798267,0.265496397
1986,16,2833.200655,2595.442812,0.250670201
1986,17,3368.024564,3111.273532,0.236631632
1986,18,3828.588336,3568.781997,0.22742699
1986,19,4178.98064,3936.527671,0.220130468
1986,20,4353.338561,4133.211286,0.218360778
1986,21,4535.979254,4355.330123,0.213608146
1987,1,1.396775413,0.369708042,3.785647354
1987,2,7.196171526,3.564575311,1.888776044
1987,3,23.97257003,15.02337557,1.219318255
1987,4,55.98667014,39.29295082,0.910298644
1987,5,102.5251158,76.75582204,0.741701173
1987,6,164.8463149,128.2249668,0.63213771
1987,7,256.0952702,203.888341,0.547649495
1987,8,390.7070456,318.1294109,0.475929223
1987,9,558.6958768,467.0713624,0.422832762
1987,10,774.4599897,666.7882469,0.378898389
1987,11,1011.135807,888.7328765,0.34702442
1987,12,1278.80392,1136.951781,0.322063754
1987,13,1567.09702,1404.769411,0.301980742
1987,14,1931.220499,1750.334438,0.282231712
1987,15,2354.691122,2144.986918,0.265533138
1987,16,2831.947035,2601.218266,0.25054054
1987,17,3361.313382,3110.183361,0.236615203
1987,18,3964.274211,3691.202802,0.225101524
1987,19,4343.774117,4078.874878,0.217804682
1987,20,4749.532875,4495.338696,0.212844619
1987,21,4722.089575,4517.725602,0.211291435
1988,1,1.585050589,0.415063027,3.716138982
1988,2,6.556208273,3.238893628,1.95652634
1988,3,21.54056101,13.4898869,1.258309804
1988,4,55.1032007,38.72335933,0.912627015
1988,5,100.4244516,75.3657023,0.7453704
1988,6,160.75866,125.3529233,0.634889427
1988,7,255.5907163,205.1312377,0.545025531
1988,8,391.778415,321.2729296,0.475024749
1988,9,569.8793873,479.8399288,0.419105895
1988,10,780.7121519,671.5251174,0.378174148
1988,11,1025.117448,904.1374904,0.34517568
1988,12,1282.624174,1148.7735,0.320926548
1988,13,1586.791191,1431.767966,0.300125201
1988,14,1942.221891,1765.991243,0.281331431
1988,15,2343.414779,2147.063231,0.265313962
1988,16,2803.706147,2581.606379,0.251016541
1988,17,3346.096009,3103.997416,0.236796312
1988,18,3925.141833,3660.907258,0.225635435
1988,19,4505.589235,4226.460895,0.215464849
1988,20,4998.830165,4715.976222,0.209810139
1988,21,5179.651552,4941.628291,0.205598763
1989,1,1.948887862,0.515122789,3.499377168
1989,2,7.013919923,3.471602053,1.964454248
1989,3,19.71368344,12.31451775,1.29762606
1989,4,49.17833246,34.41967738,0.943610587
1989,5,98.7188188,74.21023964,0.747881501
1989,6,156.6485643,122.5931155,0.639138709
1989,7,248.6918872,200.2304187,0.548341616
1989,8,385.2087925,317.823098,0.475960447
1989,9,565.3237378,478.8641789,0.419727559
1989,10,786.130178,680.5175929,0.37660395
1989,11,1034.436311,912.0178227,0.34425958
1989,12,1291.900032,1160.738639,0.319896297
1989,13,1569.521545,1426.218289,0.300439899
1989,14,1940.327935,1774.743999,0.280828065
1989,15,2336.613657,2148.27888,0.265162024
1989,16,2759.661718,2554.304707,0.251735135
1989,17,3292.517932,3061.469546,0.237722539
1989,18,3884.127614,3632.141145,0.226206694
1989,19,4459.097157,4189.546926,0.215982645
1989,20,5202.674487,4902.665212,0.207355029
1989,21,5464.888679,5197.840976,0.202522309
1990,1,2.522998547,0.682524117,3.203066236
1990,2,8.373977722,4.20573375,1.864030156
1990,3,21.6465659,13.56239208,1.285340997
1990,4,44.80175797,31.2248494,0.972120309
1990,5,88.69747213,66.48737236,0.771995078
1990,6,153.8542019,120.7134314,0.641682846
1990,7,240.5737029,194.3639328,0.553481752
1990,8,372.7872045,308.1177998,0.48027145
1990,9,549.9702339,467.6540815,0.42265879
1990,10,773.648257,672.96981,0.378190442
1990,11,1031.372121,913.85238,0.344116491
1990,12,1304.177521,1171.185237,0.31897354
1990,13,1571.455187,1432.268214,0.300046498
1990,14,1896.110192,1744.444609,0.28232677
1990,15,2305.039079,2131.757435,0.265736202
1990,16,2733.348557,2537.600468,0.252163714
1990,17,3203.771445,2993.827676,0.23928284
1990,18,3798.854998,3560.610686,0.227547646
1990,19,4395.990671,4140.593678,0.216768606
1990,20,5089.315934,4803.761242,0.208573789
1990,21,5694.689738,5410.643153,0.200079747
1991,1,3.03218689,0.844395091,2.996711234
1991,2,10.56571223,5.427493552,1.716293305
1991,3,25.31961911,16.1284984,1.223999742
1991,4,49.98091618,35.01568374,0.953722056
1991,5,81.41059418,60.71983724,0.793230562
1991,6,138.688737,108.5525173,0.662422791
1991,7,235.1943506,190.504748,0.556695568
1991,8,359.0831453,297.3635922,0.485771878
1991,9,530.5501379,451.6839668,0.427215415
1991,10,749.2716551,652.5126016,0.381919125
1991,11,1009.219243,897.3887713,0.346305564
1991,12,1289.630322,1163.472609,0.31974474
1991,13,1588.984181,1446.425273,0.299076292
1991,14,1888.563452,1741.890558,0.282457924
1991,15,2229.937056,2073.734632,0.26803846
1991,16,2665.776855,2488.725569,0.253638161
1991,17,3149.485692,2951.659637,0.24026919
1991,18,3649.136495,3437.791031,0.229971483
1991,19,4280.779431,4041.018936,0.218362244
1991,20,4970.999705,4705.024412,0.20988441
1991,21,5581.463134,5311.532789,0.201115879
1992,1,2.646295482,0.733922097,3.112637001
1992,2,12.21777638,6.425275404,1.629894226
1992,3,30.66395283,20.00165766,1.141679241
1992,4,57.02371562,40.62558296,0.913554263
1992,5,89.14109579,66.68994154,0.780864233
1992,6,128.1935429,99.7232484,0.679704785
1992,7,212.7052626,171.6781669,0.574768671
